,date,tournament,level,bestOf,surface,indoor,round,winner_name,winner_seed,winner_country_name,winner_country_id,winner_rank,winner_eloRatingDelta,winner_eloRating,loser_name,loser_country_name,loser_country_id,loser_rank,loser_eloRatingDelta,loser_eloRating,score,loser_seed,loser_entry,speed,outcome,winner_entry,Unnamed: 0,OpponentId
133,5/5/13,Madrid Masters,M,3,C,False,R32,GRIGOR DIMITROV,,Bulgaria,BUL,28,20.0,2009,Novak Djokovic,Serbia,SRB,1.0,-19.0,2518,7-6(6) 6-7(8) 6-3,1.0,,54.0,,,30,d875
134,3/20/13,Miami Masters,M,3,H,False,R16,TOMMY HAAS,15.0,Germany,GER,18,19.0,2066,Novak Djokovic,Serbia,SRB,1.0,-18.0,2518,6-2 6-4,1.0,,40.0,,,52,h355
135,6/22/09,Wimbledon,G,5,G,False,QF,TOMMY HAAS,24.0,Germany,GER,34,20.0,2110,Novak Djokovic,Serbia,SRB,4.0,-20.0,2288,7-5 7-6(6) 4-6 6-3,4.0,,83.0,,,52,h355
136,6/8/09,Halle,B,3,G,False,F,TOMMY HAAS,,Germany,GER,41,17.0,2061,Novak Djokovic,Serbia,SRB,4.0,-16.0,2293,6-3 6-7(4) 6-1,2.0,,66.0,,WC,52,h355
137,5/6/12,Madrid Masters,M,3,C,False,QF,JANKO TIPSAREVIC,7.0,Serbia,SRB,8,19.0,2107,Novak Djokovic,Serbia,SRB,1.0,-18.0,2469,7-6(2) 6-3,1.0,,67.0,,,113,T742
138,11/20/11,Tour Finals,F,3,H,True,RR,JANKO TIPSAREVIC,,Serbia,SRB,9,20.0,2080,Novak Djokovic,Serbia,SRB,1.0,-20.0,2466,3-6 6-3 6-3,,,67.0,,,113,T742
139,11/20/11,Tour Finals,F,3,H,True,RR,DAVID FERRER,,Spain,ESP,5,19.0,2206,Novak Djokovic,Serbia,SRB,1.0,-18.0,2484,6-3 6-1,,,67.0,,,37,f401
140,3/6/09,Davis Cup WG,D,5,C,False,R16,DAVID FERRER,,Spain,ESP,12,14.0,2078,Novak Djokovic,Serbia,SRB,3.0,-13.0,2263,6-3 6-3 7-6(4),,,,,,37,f401
141,11/12/07,Masters Cup,F,3,H,True,RR,DAVID FERRER,,Spain,ESP,6,14.0,2165,Novak Djokovic,Serbia,SRB,3.0,-13.0,2232,6-4 6-4,,,55.0,,,37,f401
142,4/15/07,Monte Carlo Masters,M,3,C,False,R16,DAVID FERRER,12.0,Spain,ESP,16,13.0,2063,Novak Djokovic,Serbia,SRB,7.0,-13.0,2173,7-5 6-4,6.0,,21.0,,,37,f401
143,9/13/04,Bucharest,B,3,C,False,R16,DAVID FERRER,6.0,Spain,ESP,54,5.0,1871,Novak Djokovic,Serbia,SRB,272.0,-13.0,1689,4-6 6-4 6-4,,Q,34.0,,,37,f401
144,5/3/10,Belgrade,B,3,C,False,QF,FILIP KRAJINOVIC,,Serbia,SRB,319,51.0,1685,Novak Djokovic,Serbia,SRB,2.0,-17.0,2306,6-4 RET,1.0,,33.0,RET,WC,68,KB05
145,2/8/10,Rotterdam,A,3,H,True,SF,MIKHAIL YOUZHNY,6.0,Russian Federation,RUS,20,17.0,2071,Novak Djokovic,Serbia,SRB,2.0,-16.0,2348,7-6(5) 7-6(6),1.0,,60.0,,,120,Y061
146,2/19/07,Rotterdam,A,3,H,True,SF,MIKHAIL YOUZHNY,,Russian Federation,RUS,22,12.0,2057,Novak Djokovic,Serbia,SRB,14.0,-11.0,2094,3-6 7-6(7) 7-5,5.0,,82.0,,,120,Y061
147,2/12/07,Marseille,B,3,H,True,R32,MIKHAIL YOUZHNY,,Russian Federation,RUS,22,10.0,2027,Novak Djokovic,Serbia,SRB,14.0,-10.0,2086,6-4 4-6 7-6,4.0,,65.0,,,120,Y061
148,11/22/09,Tour Finals,F,3,H,True,RR,ROBIN SODERLING,,Sweden,SWE,9,16.0,2199,Novak Djokovic,Serbia,SRB,3.0,-16.0,2360,7-6(5) 6-1,,,94.0,,,107,sa49
149,10/11/09,Shanghai Masters,M,3,H,False,SF,NIKOLAY DAVYDENKO,6.0,Russian Federation,RUS,8,14.0,2202,Novak Djokovic,Serbia,SRB,4.0,-15.0,2321,4-6 6-4 7-6(1),2.0,,66.0,,,26,d402
150,2/8/08,Davis Cup WG,D,5,H,False,R16,NIKOLAY DAVYDENKO,,Russian Federation,RUS,4,13.0,2107,Novak Djokovic,Serbia,SRB,3.0,-13.0,2276,4-6 3-6 6-4 0-0 RET,,,,RET,,26,d402
151,1/12/09,Sydney,B,3,H,False,SF,JARKKO NIEMINEN,,Finland,FIN,40,17.0,1951,Novak Djokovic,Serbia,SRB,3.0,-15.0,2270,6-4 7-6(3),1.0,,52.0,,,85,N289
152,1/4/09,Brisbane,B,3,H,False,R32,ERNESTS GULBIS,,Latvia,LAT,53,15.0,1975,Novak Djokovic,Serbia,SRB,3.0,-14.0,2277,6-4 6-4,1.0,,55.0,,,51,G858
153,3/27/08,Miami Masters,M,3,H,False,R64,KEVIN ANDERSON,,South Africa,RSA,122,28.0,1799,Novak Djokovic,Serbia,SRB,3.0,-18.0,2279,7-6(1) 3-6 6-4,3.0,,57.0,,Q,5,A678
154,2/11/08,Marseille,B,3,H,True,R16,GILLES SIMON,,France,FRA,30,15.0,1964,Novak Djokovic,Serbia,SRB,3.0,-13.0,2263,6-2 6-7(6) 6-3,1.0,,95.0,,,104,SD32
155,11/12/07,Masters Cup,F,3,H,True,RR,RICHARD GASQUET,,France,FRA,8,17.0,2081,Novak Djokovic,Serbia,SRB,3.0,-16.0,2248,6-4 6-2,,,55.0,,,45,g628
156,7/23/07,Umag,B,3,C,False,R16,VIKTOR TROICKI,,Serbia,SRB,176,37.0,1723,Novak Djokovic,Serbia,SRB,3.0,-15.0,2206,2-6 6-4 7-5,1.0,,26.0,,Q,115,t840
157,4/24/06,Barcelona,A,3,C,False,R64,DANIEL GIMENO TRAVER,,Spain,ESP,178,49.0,1657,Novak Djokovic,Serbia,SRB,66.0,-16.0,1916,6-4 3-6 6-3,,,35.0,,Q,46,G676
158,3/6/06,Indian Wells Masters,M,3,H,False,R128,JULIEN BENNETEAU,,France,FRA,88,15.0,1847,Novak Djokovic,Serbia,SRB,67.0,-13.0,1903,6-3 6-4,,,43.0,,Q,13,b747
159,2/20/06,Rotterdam,A,3,H,True,QF,RADEK STEPANEK,6.0,Czech Republic,CZE,23,7.0,2002,Novak Djokovic,Serbia,SRB,72.0,-8.0,1911,7-5 4-6 7-6(2),,Q,61.0,,,110,s694
