date,tournament,level,bestOf,surface,indoor,round,winner_name,winner_seed,winner_country_name,winner_country_id,winner_rank,winner_eloRatingDelta,winner_eloRating,loser_name,loser_country_name,loser_country_id,loser_rank,loser_eloRatingDelta,loser_eloRating,score,loser_seed,loser_entry,speed,outcome,winner_entry
4/27/09,Rome Masters,M,3,C,FALSE,R16,Novak Djokovic,3,Serbia,SRB,3,5,2278,Tommy Robredo,Spain,ESP,17,-5,2087,6-1 6-1,13,,33,,
4/27/09,Rome Masters,M,3,C,FALSE,R32,Novak Djokovic,3,Serbia,SRB,3,2,2276,Albert Montanes,Spain,ESP,33,-2,1884,7-6(5) 6-0,,,33,,
4/12/09,Monte Carlo Masters,M,3,C,FALSE,F,Rafael Nadal,1,Spain,ESP,1,7,2446,Novak Djokovic,Serbia,SRB,3,-7,2283,6-3 2-6 6-1,3,,17,,
4/12/09,Monte Carlo Masters,M,3,C,FALSE,SF,Novak Djokovic,3,Serbia,SRB,3,5,2278,Stan Wawrinka,Switzerland,SUI,16,-6,2084,4-6 6-1 6-3,13,,17,,
4/12/09,Monte Carlo Masters,M,3,C,FALSE,QF,Novak Djokovic,3,Serbia,SRB,3,7,2271,Fernando Verdasco,Spain,ESP,8,-8,2153,6-2 4-6 6-3,7,,17,,
4/12/09,Monte Carlo Masters,M,3,C,FALSE,R16,Novak Djokovic,3,Serbia,SRB,3,2,2269,Albert Montanes,Spain,ESP,36,-3,1885,6-1 6-7(4) 6-0,,,17,,
4/12/09,Monte Carlo Masters,M,3,C,FALSE,R32,Novak Djokovic,3,Serbia,SRB,3,1,2268,Oscar Hernandez,Spain,ESP,65,-2,1797,6-1 6-2,,Q,17,,
3/25/09,Miami Masters,M,3,H,FALSE,F,Andy Murray,4,United Kingdom,GBR,4,10,2344,Novak Djokovic,Serbia,SRB,3,-10,2278,6-2 7-5,3,,52,,
3/25/09,Miami Masters,M,3,H,FALSE,SF,Novak Djokovic,3,Serbia,SRB,3,15,2263,Roger Federer,Switzerland,SUI,2,-14,2373,3-6 6-2 6-3,2,,52,,
3/25/09,Miami Masters,M,3,H,FALSE,QF,Novak Djokovic,3,Serbia,SRB,3,8,2255,Jo Wilfried Tsonga,France,FRA,11,-9,2176,6-3 6-4,10,,52,,
3/25/09,Miami Masters,M,3,H,FALSE,R16,Novak Djokovic,3,Serbia,SRB,3,5,2250,Tomas Berdych,Czech Republic,CZE,22,-6,2069,6-3 6-2,21,,52,,
3/25/09,Miami Masters,M,3,H,FALSE,R32,Novak Djokovic,3,Serbia,SRB,3,4,2246,Paul Henri Mathieu,France,FRA,33,-4,1983,6-4 6-1,31,,52,,
3/25/09,Miami Masters,M,3,H,FALSE,R64,Novak Djokovic,3,Serbia,SRB,3,1,2245,Frank Dancevic,Canada,CAN,117,-2,1833,6-3 6-2,,Q,52,,
