,ref,T_1st_ad_%ServesWon,T_1st_ad_Aces,T_1st_ad_Unreturned,T_1st_ad_Returned,T_1st_ad_AvgSpeed,M_1st_ad_%ServesWon,M_1st_ad_Aces,M_1st_ad_Unreturned,M_1st_ad_Returned,M_1st_ad_AvgSpeed,W_1st_ad_%ServesWon,W_1st_ad_Aces,W_1st_ad_Unreturned,W_1st_ad_Returned,W_1st_ad_AvgSpeed,T_2nd_ad_%ServesWon,T_2nd_ad_Aces,T_2nd_ad_Unreturned,T_2nd_ad_Returned,T_2nd_ad_AvgSpeed,M_2nd_ad_%ServesWon,M_2nd_ad_Aces,M_2nd_ad_Unreturned,M_2nd_ad_Returned,M_2nd_ad_AvgSpeed,W_2nd_ad_%ServesWon,W_2nd_ad_Aces,W_2nd_ad_Unreturned,W_2nd_ad_Returned,W_2nd_ad_AvgSpeed,year
87,bh09,25.0%,0,0,4,111.0,60.0%,0,1,4,99.0,100.0%,1,2,3,106.0,0.0%,0.0,0.0,0.0,0.0,0.0%,0,0,0,0.0,0.0%,0,0,3,87.0,2012
88,bd20,63.6%,2,2,7,124.0,50.0%,0,0,2,127.0,54.5%,2,3,6,125.0,0.0%,0.0,0.0,3.0,102.0,55.6%,0,2,7,85.0,77.8%,0,1,8,82.0,2012
89,b747,68.0%,4,6,15,120.0,66.7%,0,2,4,118.0,88.0%,5,7,13,119.0,100.0%,0.0,1.0,1.0,105.0,60.0%,0,1,14,99.0,75.0%,0,3,17,93.0,2012
90,BE90,80.0%,1,0,4,116.0,0.0%,0,0,0,0.0,63.6%,1,3,7,117.0,100.0%,0.0,1.0,1.0,94.0,25.0%,0,0,4,91.0,42.9%,0,1,6,94.0,2012
91,BA47,73.7%,1,7,11,111.0,0.0%,0,0,0,0.0,85.7%,2,2,10,110.0,33.3%,0.0,1.0,2.0,113.0,0.0%,0,0,1,92.0,43.8%,0,3,13,91.0,2012
92,BK40,76.9%,2,6,5,122.0,100.0%,0,1,0,127.0,58.3%,0,5,7,121.0,0.0%,0.0,0.0,3.0,111.0,70.0%,0,1,9,93.0,60.0%,0,1,4,92.0,2012
93,b676,66.7%,0,3,3,118.0,50.0%,0,0,2,117.0,50.0%,0,1,9,105.0,36.4%,0.0,2.0,9.0,96.0,25.0%,0,0,4,93.0,50.0%,0,0,6,90.0,2012
94,CD85,71.4%,1,2,4,119.0,0.0%,0,0,1,108.0,66.7%,0,2,7,119.0,0.0%,0.0,0.0,0.0,0.0,20.0%,0,0,5,96.0,0.0%,0,0,2,96.0,2012
95,CE25,28.6%,0,2,5,122.0,75.0%,0,0,4,109.0,40.0%,0,2,8,117.0,0.0%,0.0,0.0,0.0,0.0,50.0%,0,1,5,90.0,0.0%,0,0,2,93.0,2012
96,cf01,55.6%,3,4,11,130.0,0.0%,0,0,0,0.0,76.2%,3,3,15,119.0,0.0%,0.0,0.0,0.0,0.0,25.0%,0,1,3,107.0,72.7%,1,3,7,105.0,2012
97,CA12,75.0%,0,1,3,133.0,33.3%,0,0,3,119.0,80.0%,0,3,2,115.0,100.0%,0.0,2.0,0.0,96.0,25.0%,0,2,6,100.0,100.0%,0,0,2,97.0,2012
98,c977,85.7%,2,2,3,114.0,68.8%,0,2,14,106.0,58.3%,0,4,20,106.0,14.3%,0.0,0.0,7.0,83.0,45.5%,0,3,8,93.0,55.6%,0,2,7,96.0,2012
99,CG80,70.8%,2,10,36,115.0,40.0%,0,0,5,105.0,68.0%,2,8,15,125.0,25.0%,0.0,0.0,4.0,100.0,40.0%,0,1,19,86.0,55.6%,0,6,30,86.0,2012
100,da81,75.0%,1,5,14,120.0,80.0%,0,0,5,113.0,100.0%,0,2,4,112.0,0.0%,0.0,0.0,0.0,0.0,44.4%,0,1,8,89.0,80.0%,0,1,4,88.0,2012
101,DH50,68.4%,6,4,9,131.0,0.0%,0,0,1,121.0,81.2%,4,5,7,131.0,,,,,,64.7%,0,3,14,95.0,66.7%,0,2,1,93.0,2012
