,Year,Hard,Clay,Carpet,Grass,draw_size,winner_hand,winner_ht,winner_age,loser_hand,loser_ht,loser_age,best_of,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
87,2007,0.0,0.0,0.0,1.0,48,1.0,188.0,20.3,0.0,196.0,23.5,3,105.0,8.0,4.0,70.0,38.0,33.0,18.0,10.0,6.0,6.0,6.0,2.0,65.0,38.0,30.0,12.0,10.0,0.0,2.0,3.0,4370.0,49.0,675.0
88,2007,0.0,0.0,0.0,1.0,48,1.0,180.0,25.7,0.0,188.0,20.3,3,105.0,8.0,0.0,68.0,41.0,35.0,15.0,11.0,2.0,2.0,9.0,5.0,81.0,47.0,34.0,16.0,11.0,4.0,5.0,25.0,1160.0,3.0,4370.0
89,2007,0.0,0.0,1.0,0.0,56,1.0,188.0,20.0,0.0,190.0,27.5,3,94.0,6.0,1.0,84.0,54.0,39.0,18.0,13.0,3.0,4.0,8.0,6.0,73.0,46.0,37.0,8.0,13.0,4.0,7.0,4.0,3010.0,86.0,481.0
90,2007,0.0,0.0,1.0,0.0,56,1.0,173.0,29.4,0.0,188.0,20.0,3,113.0,2.0,0.0,91.0,58.0,47.0,13.0,14.0,7.0,9.0,18.0,4.0,77.0,48.0,38.0,14.0,13.0,6.0,8.0,43.0,745.0,4.0,3010.0
91,2007,0.0,0.0,0.0,1.0,32,1.0,188.0,20.3,0.0,183.0,25.0,3,77.0,5.0,3.0,55.0,34.0,22.0,12.0,10.0,0.0,3.0,5.0,0.0,54.0,35.0,21.0,5.0,9.0,4.0,9.0,3.0,4145.0,70.0,535.0
92,2007,0.0,0.0,0.0,1.0,32,1.0,188.0,20.3,0.0,178.0,31.6,3,77.0,7.0,1.0,47.0,24.0,22.0,14.0,10.0,0.0,1.0,0.0,0.0,58.0,30.0,20.0,13.0,10.0,1.0,4.0,3.0,4145.0,126.0,345.0
93,2007,0.0,0.0,0.0,1.0,32,1.0,188.0,20.3,0.0,190.0,28.1,3,174.0,7.0,1.0,128.0,75.0,54.0,31.0,17.0,12.0,14.0,6.0,4.0,108.0,62.0,50.0,20.0,16.0,5.0,7.0,3.0,4145.0,16.0,1465.0
94,2007,0.0,0.0,0.0,1.0,32,1.0,188.0,20.3,0.0,190.0,23.6,3,106.0,4.0,2.0,78.0,48.0,37.0,12.0,10.0,6.0,7.0,1.0,2.0,56.0,33.0,22.0,9.0,9.0,4.0,7.0,3.0,4145.0,73.0,529.0
95,2007,0.0,0.0,0.0,1.0,32,1.0,188.0,20.3,0.0,183.0,22.5,3,76.0,1.0,0.0,46.0,33.0,26.0,9.0,8.0,1.0,1.0,2.0,2.0,55.0,36.0,24.0,4.0,8.0,4.0,8.0,3.0,4145.0,41.0,745.0
96,2007,0.0,0.0,0.0,1.0,32,1.0,188.0,19.6,1.0,201.0,21.4,3,147.0,4.0,6.0,118.0,71.0,50.0,26.0,15.0,5.0,6.0,14.0,5.0,106.0,63.0,48.0,17.0,16.0,6.0,10.0,16.0,1380.0,153.0,287.0
97,2007,0.0,0.0,0.0,1.0,32,1.0,188.0,19.6,0.0,178.0,30.4,3,101.0,8.0,3.0,72.0,48.0,34.0,11.0,11.0,4.0,7.0,2.0,3.0,74.0,45.0,28.0,10.0,11.0,2.0,7.0,16.0,1380.0,70.0,526.0
98,2007,0.0,0.0,0.0,1.0,32,1.0,188.0,19.6,0.0,180.0,23.4,3,58.0,9.0,1.0,40.0,28.0,23.0,5.0,6.0,1.0,1.0,3.0,3.0,57.0,28.0,18.0,5.0,7.0,9.0,15.0,16.0,1380.0,76.0,509.0
99,2007,0.0,0.0,0.0,1.0,32,1.0,188.0,19.6,0.0,180.0,26.6,3,54.0,2.0,3.0,45.0,30.0,26.0,9.0,8.0,3.0,3.0,0.0,2.0,47.0,32.0,19.0,5.0,7.0,4.0,8.0,16.0,1380.0,200.0,194.0
100,2007,0.0,0.0,0.0,1.0,32,1.0,188.0,19.6,0.0,198.0,24.5,3,67.0,8.0,2.0,44.0,30.0,28.0,9.0,9.0,0.0,0.0,6.0,3.0,66.0,48.0,27.0,8.0,8.0,6.0,9.0,16.0,1380.0,193.0,202.0
101,2007,0.0,0.0,0.0,1.0,48,1.0,178.0,34.8,0.0,188.0,20.4,3,175.0,1.0,2.0,47.0,25.0,21.0,16.0,9.0,2.0,2.0,5.0,3.0,57.0,31.0,21.0,10.0,8.0,4.0,7.0,39.0,731.0,3.0,4470.0
102,2007,0.0,0.0,0.0,1.0,96,1.0,188.0,19.8,0.0,180.0,29.1,3,84.0,13.0,1.0,66.0,45.0,36.0,15.0,11.0,3.0,3.0,8.0,0.0,72.0,47.0,34.0,16.0,11.0,3.0,4.0,10.0,2060.0,82.0,485.0
103,2007,0.0,0.0,0.0,1.0,96,1.0,188.0,19.8,1.0,190.0,26.8,3,60.0,1.0,1.0,44.0,27.0,23.0,13.0,9.0,0.0,0.0,3.0,3.0,48.0,27.0,16.0,10.0,8.0,2.0,5.0,10.0,2060.0,76.0,514.0
